2011年大连市第二十四中学体育特长生专项技术测试规定



<table width="100%">
<tr>
<td><div id="contentMidPicAD" style="float:right; clear:both; top:0; vertical-align:top;"></div>
<h4>
	 </h4>
<h4>
<font color="#000000">    一、田径<br/>
	    1、人员配置：径赛项目每个测试场地安排一名发令员，一名召回发令员，每条跑道安排三名计时裁判，一名记录员，一名监督人员。田赛项目每个测试场地至少安排五名裁判，两名监督人员。<br/>
	    2、测试办法：按照国家田径协会审定的《田径竞赛规则》组织测试。考生根据自己的专项，任选一项参加测试。径赛项目只测试一次，田赛项目每人试跳（投）三次（其中跳高为每一高度可试跳三次），取其中最佳成绩作为考生测试成绩，田赛高度项目起跳高度及升高高度征求考生意见后确定（3次犯规成绩为0分），全能项目跑、跳、投各测一项（对照十项全能得分表换算得分）。<br/>
	    3、评分办法：径赛项目若三名裁判员记录成绩不同，则取中间裁判成绩作为考生测试成绩，成绩精确到十分之一秒，按评分标准核定考生得分。抢跑二次，该项测试成绩为0分。田赛项目由五名裁判共同裁定考生测试成绩。<br/>
	    二、排球<br/>
	    1、助跑摸高（10分）<br/>
	    （1）人员配置：每个测试场地安排两名裁判，两名监督人员，一名记录员。<br/>
	    （2）测试办法：采用助跑方式，双脚起跳摸高，每人做两次，取最好成绩。<br/>
	    （3）评分办法：按考生摸高所达到的高度评分。由两名裁判共同裁定考生测试成绩。记录员按评分标准核定记录考生得分。<br/>
	    2、扣球、发球（16分）<br/>
	    扣球（8分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判、七名评委和一名记录人员。<br/>
	    （2）测试办法：四号位扣一般球4个（斜线2个，直线2个），三号位扣半高球4个。<br/>
	    （3）评分办法：每球1分，由七名评委按评分标准分别给每位考生独立评分。记录员负责去掉一个最高分和一个最低分，取其余五名评委评分的平均值为考生得分。<br/>
	    3、发球（8分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判、七名评委和一名记录人员。<br/>
	    （2）测试办法：考生在发球区任选一点，上手或勾手连发4个直线球，再发4个斜线球（1或5号区域）共发8次。<br/>
	    （3）评分办法：每球1分，由七名评委按评分标准分别给每位考生独立评分。记录员负责去掉一个最高分和一个最低分，取其余五名评委评分的平均值为考生得分。<br/>
	    4、垫球技术（14分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判、七名评委和一名记录人员。<br/>
	    （2）测试办法：考生站在6号位垫由对面场地6号位抛来的球，将球垫到2-3号位，要求垫球质量（高度、位置）达标，共进行7次垫球。<br/>
	    （3）评分办法：每球2分，由七名评委按评分标准分别给每位考生独立评分。记录员负责去掉一个最高分和一个最低分，取其余五名评委评分的平均值为考生得分。<br/>
	    5、实战（30分）<br/>
	    （1）人员配置：每个测试场地安排两名裁判和七名评委一名记录人员。<br/>
	    （2）测试办法：裁判员组织考生在标准场地，按国家现行《排球竞赛规则》进行比赛。<br/>
	    （3）评分办法：由七名评委按评分标准分别给每位考生独立评分。记录员负责去掉一个最高分和一个最低分，取其余五名评委评分的平均值为考生实战得分。<br/>
	    三、羽毛球<br/>
	    1、正手平高球技术（10分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判，七名评委，一名记录员。<br/>
	    （2）测试办法：按照羽毛球规则进行，考生位于中后场，按击平高球动作方法进行。裁判陪测，考生连续击球5次，计算考生击球次数，如裁判失误，考生则连续计算。考生2次机会，取最好成绩。<br/>
	    （3）评分办法：连续击球每球1分，合计5分；技评5分。<br/>
	    2、正手吊网前球技术（10分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判，七名评委，一名记录员。<br/>
	    （2）测试办法：按照羽毛球规则进行，考生位于中后场，考生采用劈吊、轻吊等动作方法进行。裁判陪测，考生连续击球5次，计算考生击球次数，如裁判失误，考生则连续计算。考生2次机会，取最好成绩。<br/>
	    （3）评分办法：连续击球每球1分，合计5分；技评5分。<br/>
	    3、正手杀球技术（10分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判，七名评委，一名记录员。<br/>
	    （2）测试办法：按照羽毛球规则进行，裁判陪测，考生连续杀球5次，计算考生击球次数，如裁判失误，考生则连续计算。考生2次机会，取最好成绩。<br/>
	    （3）评分办法：连续击球每球1分，合计5分；技评5分。<br/>
	    4、上手发球技术（10分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判，七名评委，一名记录员。<br/>
	    （2）测试办法：按照羽毛球规则进行，考生连续在左右区上手发球5次，计算成功发球数。考生2次机会，取最好成绩。<br/>
	    （3）评分办法：成功发球每球1分，合计5分；技评5分。<br/>
	    5、实战（30分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判和七名评委，一名记录员。<br/>
	    （2）测试办法：裁判员组织考生在标准场地，按羽毛球规则进行分组循环比赛。<br/>
	    （3）评分办法：由七名评委综合评定，按照考生个人打法风格、战术意识、实战能力、心理稳定等分别给每位考生独立评分。记录员负责去掉一个最高分和一个最低分，取其余五名评委评分的平均值为考生实战得分。<br/>
	    四、网球<br/>
	    1、正手击球技术（20分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判，七名评委，一名记录员。<br/>
	    （2）测试办法：按照网球规则进行，考生位于底线中点处，可采用击、削球动作方法，击球落点在界内地区即可。由裁判陪测，考生连续击球10次，如裁判失误，考生则连续计算。考生2次机会，取最好成绩。<br/>
	    （3）评分办法：有效击球（界内）1次1分，技评10分。<br/>
	    2、反手击球技术（10分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判，七名评委，一名记分员。<br/>
	    （2）测试办法：按照网球规则进行，考生位于底线中点处，可采用击、削球动作方法，击球落点在界内地区即可。由裁判陪测，考生连续击球5次，如裁判失误，考生则连续计算。考生2次机会，取最好成绩。<br/>
	    （3）评分办法：有效击球（界内）1次1分，技评5分。<br/>
	    3、发球技术（10分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判，七名评委，一名记录员。<br/>
	    （2）测试办法：按照网球规则进行，考生连续发球10次，计算考生发球成功次数。考生2次机会，取最好成绩。<br/>
	    （3）评分办法：成功发球每球1分，满分5分；技评5分。<br/>
	    4、实战（30分）<br/>
	    （1）人员配置：每个测试场地安排一名裁判和七名评委，一名记录员。<br/>
	    （2）测试办法：裁判员组织考生按网球规则进行分组循环比赛。<br/>
	    （3）评分办法：由七名评委综合评定，按照考生个人打法风格、战术意识、实战能力、心理稳定等分别给每位考生独立评分。记分员负责去掉一个最高分和一个最低分，取其余五名评委评分的平均分作为考生实战得分。</font></h4>
<h4>
<font color="#000000">    五、 剑术<br/>
	    一、步行测试，弓步、虚步、仆步主要步行（20分）<br/>
	    （1）人员配置：一名主裁判，7名评委，一名记录员<br/>
	    （2）测试办法：每名考生持剑做弓步2次，做持剑虚步2次做持剑仆步2次，动作自创。<br/>
	    （3）评分标准<br/>
	    优：（17----20）：动作姿势完全正确，步行规格标准，动作协调舒展<br/>
	    良：（14----16）：动作姿势基本正确，步行规格基本标准，动作协调舒展<br/>
	    及格：（10----13）：动作姿势比较正确，步行规格比较标准，动作协调舒展<br/>
	    不及格：（5----9）：动作姿势不正确，步行规格不够标准，动作协调舒展<br/>
	    二、剑法测试：刺、劈、剑腕花<br/>
	    （1）人员配置：一名主裁判，7名评委，一名记录员<br/>
	    （2）测试办法：每名考生持剑做刺、劈、剑腕花，每个动作做两次，动作自创。<br/>
	    （3）评分标准<br/>
	    优：（17----20）：剑法轻快、准确，衔接变化流畅，手腕灵活<br/>
	    良：（14----16）：剑法基本轻快、准确，衔接变化基本流畅，手腕灵活<br/>
	    及格：（10----13）：剑法较轻快、准确，衔接变化较流畅，手腕灵活<br/>
	    不及格：（5----9）：剑法不轻快、准确，衔接变化不流畅，手腕灵活<br/>
	    三、专项技术做一段自选剑（30分）<br/>
	    （1）人员配置：一名主裁判，7名评委，一名记录员<br/>
	    （2）测试办法：做一段自选剑<br/>
	    （3）评分标准<br/>
	    优：（17----20）：动作演练全部正确，连贯协调，动作规格标准<br/>
	    良：（14----16）：动作演练基本正确，比较连贯协调，动作规格基本标准<br/>
	    及格：（10----13）：部分动作演练正确，连贯不够协调，动作规格有时标准<br/>
	    不及格：（5----9）：动作不能完成，且常有停顿<br/>
	    四、评分最后汇总成绩<br/>
	    1、找一名工作人员收每项测试完得记录表，并且检查学生签字、记录员签字、监督员签字完整后进行装订。<br/>
