理论中心组学习文章：国际形势评估及展望



<table width="100%">
<tr>
<td><div id="contentMidPicAD" style="float:right; clear:both; top:0; vertical-align:top;"></div>
<p style="text-align: center">
	国际形势评估及展望</p>
<p style="text-align: center">
	中国国际问题研究所国际战略研究部  陈须隆、苏晓晖</p>
<p>
	    2012年，国际形势复杂多变，打上大选或换届印记。多国政权更新，国际格局深刻演变。世界经济复苏面临诸多挑战，发达经济与新兴经济呈现“双速”增长，美欧设法转嫁危机。中东地区的热点问题联动性增强，西亚北非动荡难以平息，新干涉主义受挫。美加速推进其“亚太再平衡”并取得成效，但难以摆脱各种矛盾束缚。中国国际地位继续提升，但周边环境更为严峻。<br/>
	    一、2012年国际形势的主要特点<br/>
	    （一）多国政权更新，国际格局深刻演变<br/>
	    中国共产党第十八次全国代表大会胜利召开，选出以习近平为总书记的新一届中央领导集体，开辟中国特色社会主义更为广阔发展前景。美国大选结果打碎共和党卷土重来希望，标志着自1980年代初里根执政以后右翼保守势力占据美政治舞台中心局面完全结束。奥巴马胜选得益于新移民大幅增加之后美选民结构明显变化，但只得到半数选民支持。美政治两极化趋势还在发展。俄罗斯普京“王者归来”，面对有利国际环境，鹰视东西方，以欧亚联盟为外交首选，以融入欧洲为梦想，以改善对美关系为期待，以开发远东为重要地缘政治任务，更加关注东方，加大对亚太投入。法国奥朗德政府上台，德国默克尔有望赢得2013年大选，欧盟共识增加，危机倒逼欧元区国家前行，“双速”或“多速”欧洲更加明朗。日本自民党卷土重来，安倍晋三再次当选首相，欲“突破危机”。日本政府“一岁一枯荣”,但大国政治目标基本稳定，政治大国志向下的外交战略逐步趋向强势。金正恩顺利接班，牢控朝鲜政权。韩国大选尘埃落定，迎来史上首位女总统。朝鲜半岛地缘政治与安全格局酝酿新变化。2012年非洲举行25次选举，整个大陆局势稳定，成为仅次于东亚的经济发展最快地区，近20个国家经济前景看好。“反美旗手”查韦斯在委内瑞拉大选中再度获胜，拉美左翼力量继续保持旺势。<br/>
	    发展中国家集体崛起势头未减，在全球治理中地位更加突出。在墨西哥G20峰会上，包括金砖五国在内的新兴经济体加强协调，大量向IMF注资，力促国际金融治理改革，推动发展议题。在联合国可持续发展大会上，“77国集团+中国”加强协作，对各议题施加重大影响，确保会议成果文件重申“共同但有区别的责任”原则，顾及发展中国家对可持续发展的诉求与关切。<br/>
	    亚非拉发展势头强劲，区域合作继续推进。亚洲区域合作继续深化发展，东亚峰会机制逐步完善。非盟深化一体化进程，通过《非洲基础设施发展计划》，提出2017年建成非洲自贸区目标。拉美与加勒比共同体建设继续推进；秘、墨、智、哥四国成立“太平洋联盟”，与巴西领导的、面向大西洋的南方共同市场分庭抗礼。<br/>
	    2012年，在多国政权更新过程中，大国关系不断调适。美借助邀日参加北约峰会、加强军事合作、力促美日韩三边同盟关系等手段，强化了美日同盟。美通过强化北约、应对西亚北非变局、强调“亚太战略”与“大西洋战略”并重等方式，试图稳住美欧关系。但美欧矛盾难以弥合，美抱怨欧防务预算严重不足，欧则不满美战略东移、不愿助欧缓解债务危机。欧不支持美的北约彻底全球化主张，奥朗德上台增大法国外交与国际独立性。欧美关系渐行渐远。俄罗斯完成由“梅普”组合向“普梅”组合的转变，强国兴邦目标压倒一切。为此，俄重视发展与西方关系，如在反恐、阿富汗、朝核等问题上扩大合作面，在反导、叙利亚、伊朗等问题上缩小对抗面。在美欧支持下，俄正式“入世”，表示将更积极发展与美欧经济关系，推进贸易和投资领域合作，加固俄美关系“保险网”。美欧已接受普京将长期执政的现实，欲在世界秩序和规则的重塑中“规范”俄行为。美战略界抛出“扩大的西方”概念，欲将俄纳入欧洲—大西洋体系，使其成为“民主伙伴”。但与此同时，美对俄推进欧亚联盟设置障碍。普京释放重视对欧关系的信号，包括助欧应对债务危机，旨在缓减俄加速发展的外部压力。日本保守化趋势加剧，力图“修复”和加强日美同盟。中日关系受领土争端影响骤然降温。中国精心运作大国关系，取得一定成效。中美利益交汇面日益扩大，中国促美高度重视对华关系，并能在“多难选择”中保持冷静。中国“构建新型大国关系”倡议得到美积极评价，中美关系总体稳定的态势未变。普京复任后访华，中俄在经贸、能源、大飞机、军工等领域达成新的合作成果，双边关系实现新发展。中欧关系因中国增持欧债而得以加固。尽管欧盟仍坚持贸易保护主义，在市场经济地位等问题上继续刁难中国，但西、东、南、北欧普遍重视对华关系的局面已经形成。从全局看，中国基本构建起“总体稳定、相对均衡、互利共赢”的新型大国关系框架。<br/>
	    当前国际战略格局变化的显著特点是，各种战略力量对比与影响力变化在政治、安全、经济领域呈现不同步、不平衡现象。经济上是“东兴西衰”，政治、安全上依然是“西强东弱”，全球治理上则是“南升北降”。西方依然凭借强大政治优势，特别是绝对的军事优势强化对国际事务主导权，但愈发力不从心。大国安全关系相对稳定，“间接过招”成为常态，中美、俄美彼此间“比拼内功”、“暗中较量”成为战略博弈新形式。<br/>
	    （二）世界经济复苏放缓，美欧设法转嫁危机<br/>
	    2012年，主要经济体增长乏力，全球总需求陷入疲软，国际金融市场持续动荡，国际贸易增速明显回落，通胀形势不容乐观，世界经济下行压力较大。根据联合国12月发布的《2013年世界经济形势与展望》，世界经济增长在2012年明显下滑，增长幅度仅为2.2％，不仅低于2011年2.7％的增长率，更是远低于2010年4.0％的增长水平。<br/>
