大连市教育局党委发展党员工作实施细则（试行）



<table width="100%">
<tr>
<td><div id="contentMidPicAD" style="float:right; clear:both; top:0; vertical-align:top;"></div>
<p align="center">
<strong>大连市教育局党委发展党员工作实施细则<br/>
	（试行）</strong></p>
<p>
<br/>
	 <br/>
	    第一章  总  则<br/>
	    第一条  为了进一步规范党员的发展工作，保证新发展党员的质量，根据《中国共产党章程》和《中国共产党发展党员工作细则（试行）》及市委组织部《关于进一步规范发展党员工作确保发展党员质量的具体意见》（大组〔2010〕16号）精神，结合我局机关及直属单位实际，制定本实施细则。<br/>
	    第二条  发展党员必须坚持入党自愿的原则和个别吸收的原则；全面贯彻“坚持标准、保证质量、改善结构、慎重发展”的方针。<br/>
	第三条  发展党员工作要根据党的事业的需要和入党积极分子队伍的状况，有领导、有计划地进行。 <br/>
	    第二章    入党申请<br/>
	    第四条  凡具备《中国共产党章程》第一条规定的条件，要求加入中国共产党的，应由本人以书面形式向党组织提出申请。<br/>
	    第五条  入党申请书的主要内容包括：<br/>
	    （一）本人对入党的态度；<br/>
	    （二）本人对党的认识、入党动机；<br/>
	    （三）本人在政治立场、信念和思想、工作、作风等方面的表现情况以及今后的努力方向；<br/>
	    （四）本人对入党的决心。<br/>
	    第六条  写入党申请书必须对党忠诚老实，反映真实情况，要联系自己的思想实际谈对党的认识和入党动机。入党申请书应由本人亲自书写，由党支部妥善保存，及时进行信息登记并报局党委备案。<br/>
	第七条  申请入党人员向党组织递交申请书后，一般不必再写入党申请书，但申请人应经常以口头或书面形式向党组织汇报自己的思想、工作和学习等情况，认真接受党组织的帮助。申请人应向党组织提交自传，主要内容包括：本人基本情况、个人履历（从小学写起）、思想演变过程、家庭主要成员及主要社会关系的情况。<br/>
	    申请入党人员加入民主党派后仍有入党要求的，应重新向党组织递交入党申请书。<br/>
	    第八条  申请入党人员应自觉按照党员标准严格要求自己，以实际行动争取入党。<br/>
	    第三章  对申请入党人的培养、教育和考察<br/>
	    第九条  党组织收到入党申请书后，应指定１至２名思想素质好的正式党员作申请入党人的培养联系人。培养联系人的主要职责是：<br/>
	    指导入党申请人学习《中国共产党章程》及有关党的基本知识，了解入党申请人的思想、学习和工作情况，并根据他们的思想认识和实际表现，提出加强培养教育的措施和意见；对已基本具备条件的申请入党人，要及时向党组织提出将其列为入党积极分子的建议。<br/>
	    第十条  党组织对申请入党人员进行培养、教育的主要方法是：<br/>
	    （一）确定培养联系人，进行个别帮助；<br/>
	    （二）吸收申请入党人听党课或参加党内组织的一些有教育意义的活动；<br/>
	    （三）给申请入党人分配一定的工作，为他们提供接受锻炼和考验的机会；<br/>
	    （四）组织申请入党人参加专题学习或培训。<br/>
	    第十一条  党组织对申请入党人进行培养、教育的主要内容包括：马列主义、毛泽东思想、邓小平理论、“三个代表”重要思想和科学发展观教育；党的奋斗目标及党的基本知识、基本路线教育；党的奋斗历程和党的优良传统、作风、纪律教育；模范党员的先进事迹教育等。<br/>
	    第十二条  申请入党人具备下列条件的，经党小组（团组织）推荐、支委会（不设支委会的支部大会）审查同意，可确定为入党积极分子：<br/>
	    （一）理解和熟悉党的章程，信仰共产主义，坚决拥护党的路线、方针、政策，在政治上同党中央保持一致；<br/>
	    （二）对党有明确的认识，积极要求入党，态度端正；<br/>
	    （三）工作积极，表现突出；<br/>
	    （四）作风正派，团结同志，坚持原则，在群众中有一定的威信。<br/>
	第十三条  对高中学生应进行党的基本知识教育，并按照“着眼长远、立足教育、重在培养、个别发展”的原则，把工作着眼点放在对中学生的教育培养上。对符合条件的个别优秀学生可以吸收入党，但应严格控制。<br/>
	第十四条  28周岁以下青年入党，一般应从共青团员中发展。共青团员申请入党，应经过“推优”程序，经团组织推荐，并经支委会（不设支委会的支部大会）审查同意，方可确定为入党积极分子。<br/>
	    推优对象一般应具备下列条件：<br/>
	    （一）拥护党的领导，政治思想上积极要求进步，主动要求加入党组织；<br/>
